Price,Open,High,Low,Close,Volume
Ticker,^KS11,^KS11,^KS11,^KS11,^KS11
Date,,,,,
2010-01-04,1681.7099609375,1696.1400146484375,1681.7099609375,1696.1400146484375,296500
2010-01-05,1701.6199951171875,1702.3900146484375,1686.449951171875,1690.6199951171875,408900
2010-01-06,1697.8800048828125,1706.8900146484375,1696.0999755859375,1705.3199462890625,426000
2010-01-07,1702.9200439453125,1707.9000244140625,1683.449951171875,1683.449951171875,462400
2010-01-08,1694.06005859375,1695.260009765625,1668.8399658203125,1695.260009765625,380000
2010-01-11,1700.7900390625,1705.72998046875,1694.1199951171875,1694.1199951171875,407700
2010-01-12,1695.8299560546875,1701.1600341796875,1683.2900390625,1698.6400146484375,383800
2010-01-13,1683.510009765625,1687.5799560546875,1671.1099853515625,1671.4100341796875,361900
2010-01-14,1680.6800537109375,1692.780029296875,1677.4599609375,1685.77001953125,433800
2010-01-15,1694.6500244140625,1704.4300537109375,1686.1199951171875,1701.800048828125,415900
2010-01-18,1696.1400146484375,1716.6199951171875,1688.8900146484375,1711.780029296875,420800
2010-01-19,1719.4100341796875,1723.219970703125,1706.72998046875,1710.219970703125,384400
2010-01-20,1723.010009765625,1723.010009765625,1708.5799560546875,1714.3800048828125,695700
2010-01-21,1700.530029296875,1722.010009765625,1695.1800537109375,1722.010009765625,543500
2010-01-22,1696.2099609375,1706.0899658203125,1665.5999755859375,1684.3499755859375,615100
2010-01-25,1662.77001953125,1681.8299560546875,1660.5799560546875,1670.199951171875,585000
2010-01-26,1670.469970703125,1671.6600341796875,1626.97998046875,1637.3399658203125,576900
2010-01-27,1641.8800048828125,1643.6400146484375,1620.550048828125,1625.47998046875,446500
2010-01-28,1632.5799560546875,1649.4599609375,1619.260009765625,1642.4300537109375,479600
2010-01-29,1621.0,1626.5699462890625,1595.3900146484375,1602.4300537109375,473900
2010-02-01,1603.8699951171875,1611.989990234375,1590.800048828125,1606.43994140625,382200
2010-02-02,1618.5999755859375,1618.5999755859375,1591.239990234375,1595.81005859375,435000
